family,param,replication,graph_seed,metric,value
p_scale,0.5,0,1000,cpr_rel_reduction,0.3095238095238096
p_scale,0.5,1,1001,cpr_rel_reduction,0.2833333333333333
p_scale,0.5,2,1002,cpr_rel_reduction,0.31578947368421056
p_scale,0.5,3,1003,cpr_rel_reduction,0.3684210526315789
p_scale,0.5,4,1004,cpr_rel_reduction,0.47014925373134325
p_scale,0.5,5,1005,cpr_rel_reduction,0.29104477611940305
p_scale,0.5,6,1006,cpr_rel_reduction,0.43750000000000006
p_scale,0.5,7,1007,cpr_rel_reduction,0.38260869565217387
p_scale,0.5,8,1008,cpr_rel_reduction,0.3252032520325203
p_scale,0.5,9,1009,cpr_rel_reduction,0.2695652173913044
p_scale,1.0,0,1000,cpr_rel_reduction,0.31645569620253167
p_scale,1.0,1,1001,cpr_rel_reduction,0.3130081300813009
p_scale,1.0,2,1002,cpr_rel_reduction,0.3371647509578545
p_scale,1.0,3,1003,cpr_rel_reduction,0.41886792452830185
p_scale,1.0,4,1004,cpr_rel_reduction,0.40080971659919024
p_scale,1.0,5,1005,cpr_rel_reduction,0.3688888888888888
p_scale,1.0,6,1006,cpr_rel_reduction,0.42084942084942084
p_scale,1.0,7,1007,cpr_rel_reduction,0.3119266055045872
p_scale,1.0,8,1008,cpr_rel_reduction,0.34426229508196726
p_scale,1.0,9,1009,cpr_rel_reduction,0.3206106870229008
p_scale,2.0,0,1000,cpr_rel_reduction,0.3553719008264463
p_scale,2.0,1,1001,cpr_rel_reduction,0.33333333333333326
p_scale,2.0,2,1002,cpr_rel_reduction,0.33265306122448984
p_scale,2.0,3,1003,cpr_rel_reduction,0.3694390715667312
p_scale,2.0,4,1004,cpr_rel_reduction,0.35729386892177595
p_scale,2.0,5,1005,cpr_rel_reduction,0.3777292576419214
p_scale,2.0,6,1006,cpr_rel_reduction,0.39045553145336226
p_scale,2.0,7,1007,cpr_rel_reduction,0.40384615384615385
p_scale,2.0,8,1008,cpr_rel_reduction,0.3912133891213389
p_scale,2.0,9,1009,cpr_rel_reduction,0.3407258064516129
delta_scale,0.5,0,1000,cpr_rel_reduction,0.20253164556962022
delta_scale,0.5,1,1001,cpr_rel_reduction,0.17479674796747974
delta_scale,0.5,2,1002,cpr_rel_reduction,0.18007662835249053
delta_scale,0.5,3,1003,cpr_rel_reduction,0.23773584905660378
delta_scale,0.5,4,1004,cpr_rel_reduction,0.20647773279352227
delta_scale,0.5,5,1005,cpr_rel_reduction,0.20444444444444446
delta_scale,0.5,6,1006,cpr_rel_reduction,0.2316602316602316
delta_scale,0.5,7,1007,cpr_rel_reduction,0.13761467889908252
delta_scale,0.5,8,1008,cpr_rel_reduction,0.13934426229508196
delta_scale,0.5,9,1009,cpr_rel_reduction,0.17557251908396945
delta_scale,1.0,0,1000,cpr_rel_reduction,0.31645569620253167
delta_scale,1.0,1,1001,cpr_rel_reduction,0.3130081300813009
delta_scale,1.0,2,1002,cpr_rel_reduction,0.3371647509578545
delta_scale,1.0,3,1003,cpr_rel_reduction,0.41886792452830185
delta_scale,1.0,4,1004,cpr_rel_reduction,0.40080971659919024
delta_scale,1.0,5,1005,cpr_rel_reduction,0.3688888888888888
delta_scale,1.0,6,1006,cpr_rel_reduction,0.42084942084942084
delta_scale,1.0,7,1007,cpr_rel_reduction,0.3119266055045872
delta_scale,1.0,8,1008,cpr_rel_reduction,0.34426229508196726
delta_scale,1.0,9,1009,cpr_rel_reduction,0.3206106870229008
delta_scale,1.2,0,1000,cpr_rel_reduction,0.3755274261603375
delta_scale,1.2,1,1001,cpr_rel_reduction,0.35365853658536583
delta_scale,1.2,2,1002,cpr_rel_reduction,0.39846743295019166
delta_scale,1.2,3,1003,cpr_rel_reduction,0.48301886792452825
delta_scale,1.2,4,1004,cpr_rel_reduction,0.4534412955465587
delta_scale,1.2,5,1005,cpr_rel_reduction,0.41333333333333333
delta_scale,1.2,6,1006,cpr_rel_reduction,0.4826254826254826
delta_scale,1.2,7,1007,cpr_rel_reduction,0.389908256880734
delta_scale,1.2,8,1008,cpr_rel_reduction,0.42622950819672134
delta_scale,1.2,9,1009,cpr_rel_reduction,0.3931297709923664
delta_scale,1.5,0,1000,cpr_rel_reduction,0.45569620253164556
delta_scale,1.5,1,1001,cpr_rel_reduction,0.4634146341463415
delta_scale,1.5,2,1002,cpr_rel_reduction,0.5057471264367817
delta_scale,1.5,3,1003,cpr_rel_reduction,0.5773584905660377
delta_scale,1.5,4,1004,cpr_rel_reduction,0.5303643724696356
delta_scale,1.5,5,1005,cpr_rel_reduction,0.49777777777777776
delta_scale,1.5,6,1006,cpr_rel_reduction,0.5482625482625483
delta_scale,1.5,7,1007,cpr_rel_reduction,0.48165137614678905
delta_scale,1.5,8,1008,cpr_rel_reduction,0.5204918032786885
delta_scale,1.5,9,1009,cpr_rel_reduction,0.4961832061068703
theta,0.2,0,1000,RI0,0.051333333333333335
theta,0.2,0,1000,RI1,0.9973333333333334
theta,0.2,1,1001,RI0,0.029333333333333333
theta,0.2,1,1001,RI1,0.31599999999999995
theta,0.2,2,1002,RI0,0.04666666666666666
theta,0.2,2,1002,RI1,0.168
theta,0.2,3,1003,RI0,0.014000000000000002
theta,0.2,3,1003,RI1,0.37400000000000005
theta,0.2,4,1004,RI0,0.014
theta,0.2,4,1004,RI1,0.21266666666666667
theta,0.2,5,1005,RI0,0.056
theta,0.2,5,1005,RI1,0.32733333333333337
theta,0.2,6,1006,RI0,0.03866666666666667
theta,0.2,6,1006,RI1,0.9953333333333333
theta,0.2,7,1007,RI0,0.056666666666666664
theta,0.2,7,1007,RI1,0.9700000000000001
theta,0.2,8,1008,RI0,0.05
theta,0.2,8,1008,RI1,0.978
theta,0.2,9,1009,RI0,0.018000000000000002
theta,0.2,9,1009,RI1,0.44999999999999996
theta,0.3,0,1000,RI0,0.9666666666666667
theta,0.3,0,1000,RI1,0.988
theta,0.3,1,1001,RI0,0.116
theta,0.3,1,1001,RI1,1.0
theta,0.3,2,1002,RI0,0.08333333333333333
theta,0.3,2,1002,RI1,1.0
theta,0.3,3,1003,RI0,0.09666666666666666
theta,0.3,3,1003,RI1,0.9919999999999999
theta,0.3,4,1004,RI0,0.09533333333333334
theta,0.3,4,1004,RI1,0.9786666666666667
theta,0.3,5,1005,RI0,0.14266666666666666
theta,0.3,5,1005,RI1,0.9893333333333333
theta,0.3,6,1006,RI0,0.8993333333333334
theta,0.3,6,1006,RI1,0.9946666666666667
theta,0.3,7,1007,RI0,0.9653333333333334
theta,0.3,7,1007,RI1,1.0
theta,0.3,8,1008,RI0,0.27466666666666667
theta,0.3,8,1008,RI1,0.9833333333333333
theta,0.3,9,1009,RI0,0.09266666666666667
theta,0.3,9,1009,RI1,0.9893333333333333
theta,0.4,0,1000,RI0,0.98
theta,0.4,0,1000,RI1,1.0
theta,0.4,1,1001,RI0,1.0
theta,0.4,1,1001,RI1,1.0
theta,0.4,2,1002,RI0,1.0
theta,0.4,2,1002,RI1,1.0
theta,0.4,3,1003,RI0,0.9886666666666667
theta,0.4,3,1003,RI1,1.0
theta,0.4,4,1004,RI0,0.9606666666666667
theta,0.4,4,1004,RI1,1.0
theta,0.4,5,1005,RI0,1.0
theta,0.4,5,1005,RI1,1.0
theta,0.4,6,1006,RI0,0.964
theta,0.4,6,1006,RI1,1.0
theta,0.4,7,1007,RI0,1.0
theta,0.4,7,1007,RI1,1.0
theta,0.4,8,1008,RI0,0.9893333333333333
theta,0.4,8,1008,RI1,1.0
theta,0.4,9,1009,RI0,1.0
theta,0.4,9,1009,RI1,1.0
shock,0.05,0,1000,RI0,1.0
shock,0.05,0,1000,RI1,1.0
shock,0.05,1,1001,RI0,0.9653333333333334
shock,0.05,1,1001,RI1,1.0
shock,0.05,2,1002,RI0,0.9613333333333335
shock,0.05,2,1002,RI1,0.9966666666666666
shock,0.05,3,1003,RI0,1.0
shock,0.05,3,1003,RI1,1.0
shock,0.05,4,1004,RI0,0.9640000000000001
shock,0.05,4,1004,RI1,1.0
shock,0.05,5,1005,RI0,0.9626666666666668
shock,0.05,5,1005,RI1,1.0
shock,0.05,6,1006,RI0,0.9206666666666669
shock,0.05,6,1006,RI1,0.9973333333333334
shock,0.05,7,1007,RI0,0.9613333333333335
shock,0.05,7,1007,RI1,1.0
shock,0.05,8,1008,RI0,1.0
shock,0.05,8,1008,RI1,1.0
shock,0.05,9,1009,RI0,0.3313333333333333
shock,0.05,9,1009,RI1,1.0
shock,0.1,0,1000,RI0,0.196
shock,0.1,0,1000,RI1,1.0
shock,0.1,1,1001,RI0,0.3186666666666666
shock,0.1,1,1001,RI1,1.0
shock,0.1,2,1002,RI0,0.116
shock,0.1,2,1002,RI1,0.9973333333333334
shock,0.1,3,1003,RI0,0.11266666666666666
shock,0.1,3,1003,RI1,0.998
shock,0.1,4,1004,RI0,0.07533333333333332
shock,0.1,4,1004,RI1,0.9966666666666667
shock,0.1,5,1005,RI0,0.15866666666666665
shock,0.1,5,1005,RI1,1.0
shock,0.1,6,1006,RI0,0.08066666666666666
shock,0.1,6,1006,RI1,0.9933333333333333
shock,0.1,7,1007,RI0,0.30066666666666664
shock,0.1,7,1007,RI1,0.998
shock,0.1,8,1008,RI0,0.216
shock,0.1,8,1008,RI1,1.0
shock,0.1,9,1009,RI0,0.24800000000000003
shock,0.1,9,1009,RI1,0.9913333333333333
shock,0.2,0,1000,RI0,0.07466666666666667
shock,0.2,0,1000,RI1,0.9846666666666667
shock,0.2,1,1001,RI0,0.028666666666666667
shock,0.2,1,1001,RI1,0.9553333333333334
shock,0.2,2,1002,RI0,0.06933333333333333
shock,0.2,2,1002,RI1,0.9906666666666666
shock,0.2,3,1003,RI0,0.05600000000000001
shock,0.2,3,1003,RI1,0.9913333333333334
shock,0.2,4,1004,RI0,0.06933333333333333
shock,0.2,4,1004,RI1,0.9966666666666666
shock,0.2,5,1005,RI0,0.03066666666666667
shock,0.2,5,1005,RI1,0.9953333333333333
shock,0.2,6,1006,RI0,0.025333333333333333
shock,0.2,6,1006,RI1,0.9513333333333333
shock,0.2,7,1007,RI0,0.014
shock,0.2,7,1007,RI1,0.968
shock,0.2,8,1008,RI0,0.08333333333333333
shock,0.2,8,1008,RI1,1.0
shock,0.2,9,1009,RI0,0.02333333333333333
shock,0.2,9,1009,RI1,0.958
rho,0.05,0,1000,RI1,1.0
rho,0.05,1,1001,RI1,0.9993333333333333
rho,0.05,2,1002,RI1,0.9953333333333333
rho,0.05,3,1003,RI1,0.996
rho,0.05,4,1004,RI1,1.0
rho,0.05,5,1005,RI1,0.9973333333333334
rho,0.05,6,1006,RI1,0.996
rho,0.05,7,1007,RI1,0.9873333333333334
rho,0.05,8,1008,RI1,1.0
rho,0.05,9,1009,RI1,1.0
rho,0.1,0,1000,RI1,1.0
rho,0.1,1,1001,RI1,0.9993333333333333
rho,0.1,2,1002,RI1,0.9993333333333333
rho,0.1,3,1003,RI1,0.996
rho,0.1,4,1004,RI1,1.0
rho,0.1,5,1005,RI1,0.9973333333333334
rho,0.1,6,1006,RI1,0.996
rho,0.1,7,1007,RI1,0.9873333333333334
rho,0.1,8,1008,RI1,1.0
rho,0.1,9,1009,RI1,1.0
rho,0.15,0,1000,RI1,1.0
rho,0.15,1,1001,RI1,1.0
rho,0.15,2,1002,RI1,1.0
rho,0.15,3,1003,RI1,0.9926666666666667
rho,0.15,4,1004,RI1,1.0
rho,0.15,5,1005,RI1,1.0
rho,0.15,6,1006,RI1,0.9966666666666667
rho,0.15,7,1007,RI1,1.0
rho,0.15,8,1008,RI1,1.0
rho,0.15,9,1009,RI1,1.0
